index,demand,location,x,y,assigned,piority
0,519,"Point(x=87944.0675, y=52450.6225)",87944.0675,52450.6225,155,3277577.2145689004
1,524,"Point(x=37213.06, y=94604.49)",37213.06,94604.49,29,2348587.9072743454
2,540,"Point(x=95597.8625, y=64278.22)",95597.8625,64278.22,132,1594957.0828413113
3,414,"Point(x=53019.85, y=2460.26)",53019.85,2460.26,66,1788912.5160851134
4,439,"Point(x=13295.405, y=3025.0)",13295.405,3025.0,9,672976.7813935226
5,372,"Point(x=500.7975, y=47579.95)",500.7975,47579.95,112,1886455.4466552597
6,572,"Point(x=63738.4725, y=57141.9575)",63738.4725,57141.9575,116,1257387.7050512137
7,471,"Point(x=95509.4825, y=25899.875)",95509.4825,25899.875,24,1153516.134282779
8,548,"Point(x=30172.93, y=94626.005)",30172.93,94626.005,6,3129770.7388068973
9,579,"Point(x=46379.3675, y=84749.105)",46379.3675,84749.105,84,609062.9097153445
10,665,"Point(x=75970.48, y=52569.8575)",75970.48,52569.8575,167,977375.111353303
11,519,"Point(x=16452.1175, y=28706.035)",16452.1175,28706.035,121,1153119.115834469
12,553,"Point(x=38681.3825, y=46523.3825)",38681.3825,46523.3825,193,1375941.9773135001
13,731,"Point(x=62092.99, y=50443.815)",62092.99,50443.815,164,558704.1267705779
14,446,"Point(x=85645.3025, y=682.0575)",85645.3025,682.0575,14,1280781.1172555834
15,594,"Point(x=34224.9325, y=26280.8)",34224.9325,26280.8,183,1466008.3484182123
16,515,"Point(x=50444.0225, y=83783.99)",50444.0225,83783.99,13,670856.0381609618
17,389,"Point(x=10109.805, y=12828.74)",10109.805,12828.74,27,731331.0061763831
18,529,"Point(x=39459.2025, y=54065.055)",39459.2025,54065.055,35,1925590.6342877063
19,509,"Point(x=40737.79, y=19878.75)",40737.79,19878.75,44,1222935.5900714595
20,686,"Point(x=61951.03, y=6251.5675)",61951.03,6251.5675,60,971192.9908106335
21,488,"Point(x=95432.6325, y=11464.9)",95432.6325,11464.9,185,1575143.6665125592
22,448,"Point(x=57708.2, y=72726.075)",57708.2,72726.075,139,539698.9684459255
23,623,"Point(x=67039.55, y=18307.185)",67039.55,18307.185,65,2993369.817841345
24,395,"Point(x=81144.4225, y=52273.055)",81144.4225,52273.055,167,631801.2505778875
25,537,"Point(x=11380.13, y=7991.035)",11380.13,7991.035,9,1978713.1678633392
26,514,"Point(x=85104.315, y=6111.695)",85104.315,6111.695,95,1131653.5366295648
27,462,"Point(x=70354.8325, y=88743.445)",70354.8325,88743.445,118,1681917.607189389
